Municipio,Provincia,Lugar,Dirección,Fecha,Hora,Ojo,Latitud,Longitud,Convoca,Marca en porceuta.es,Notas,Estado,Fuente
L'Hospitalet de Llobregat,Barcelona,"Plaça de l'Ajuntament, frente al Ayuntamiento","Plaça de l'Ajuntament, frente al Ayuntamiento",2026-09-02,20:00,,"41,3596","2,0997",Grupo Municipal PP de L'Hospitalet / convocatoria local,Confirmada,,Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Sabadell,Barcelona,Plaça Sant Roc,"Plaça Sant Roc, 08201",2026-09-02,20:00,,"41,54635","2,108206",,Sin confirmar,Por Ceuta,Publicada,Ambas
sant cugat del vallès,Barcelona,Plaça de la Vil·la,,2026-09-02,19:00,NO son las 20:00,"41,4707933","2,0848815",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Sant Sadurní d'Anoia,Barcelona,Plaça de l'Ajuntament,Plaça de l'Ajuntament,2026-09-02,20:00,,"41,424072","1,786578",,Sin confirmar,,Publicada,Ambas
Tarrasa,Barcelona,Ayuntamiento de Tarrasa,,2026-09-02,20:00,,"41,5634361","2,0103589",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Terrassa,Barcelona,Raval de Montserrat (Ajuntament de Terrassa),"Raval de Montserrat (Ajuntament de Terrassa), Terrassa, 08221",2026-09-02,20:00,,"41,5631581","2,0101093",,Confirmada,https://ceutanosune.es/lugares,Publicada,Ambas
Burgos,Burgos,Plaza del Mío Cid,"Plaza del Mío Cid, Burgos",2026-09-02,20:00,,"42,34061","-3,69954",Ayuntamiento de Burgos,Difundida,Recogido de prensa (El Diario de Madrid),Publicada,Ambas
Miranda de Ebro,Burgos,Plaza de España,Plaza de España,2026-09-02,20:00,,"42,683034","-2,952452",,Sin confirmar,,Publicada,Ambas
Roa,Burgos,Frente al Ayuntamiento,Frente al Ayuntamiento,2026-09-02,20:00,,"41,697102","-3,928167",,Sin confirmar,,Publicada,Ambas
Alcántara,Cáceres,Plaza de España,Plaza de España,2026-09-02,20:00,,"39,720532","-6,887432",,Sin confirmar,,Publicada,Ambas
Cáceres,Cáceres,Fachada del ayuntamiento,Fachada del ayuntamiento,2026-09-02,20:00,,"39,4753","-6,3724",,Confirmada,,Publicada,Ambas
Casar de Cáceres,Cáceres,Puertas del Ayuntamiento,Puertas del Ayuntamiento,2026-09-02,20:00,,"39,561467","-6,416968",Ayuntamiento de Casar de Cáceres,Difundida,,Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Coria,Cáceres,Puerta del ayuntamiento,"Pl. de San Pedro, 1, 10800 Coria, Cáceres",2026-09-02,20:00,,"39,983439","-6,535092","Por la FEMP, segun PP Coria",,,Pendiente de revisar,Listado oficial
Logrosán,Cáceres,Plaza de España,Plaza de España,2026-09-02,20:00,,"39,336776","-5,492372",,Sin confirmar,,Publicada,Ambas
Malpartida de Cáceres,Cáceres,Fuente de la Plaza Mayor,Fuente de la Plaza Mayor,2026-09-02,20:00,,"39,445842","-6,504675",,Sin confirmar,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Plasencia,Cáceres,Plaza Mayor,Plaza Mayor,2026-09-02,20:00,,"40,029921","-6,090168",,Confirmada,,Publicada,Ambas
Talayuela,Cáceres,Plaza de la Constitución,"Plaza de la Constitución, 10310",2026-09-02,20:00,,"39,976046","-5,610266",,,,Publicada,Listado oficial
Talayuela,Cáceres,"Puerta del Ayuntamiento, Plaza Real",,2026-09-02,20:00,,"39,9871","-5,609",Ayuntamiento de Talayuela / FEMP,Difundida,,Solo en porceuta.es,porceuta.es
